Substance,Period,Date,Value1,Value2,Value3,Value4
ČAĐ,24h,13.03.2022,50,26,25,
NO,2 24h,13.03.2022,85,125,16,24
NH3,24h,13.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,13.03.2022,50,75,71,75
Benzen,24h,,,,,
SO 2,24h,14.03.2022,125,125,8,8
ČAĐ,24h,14.03.2022,50,13,23,
NO,2 24h,14.03.2022,85,125,13,25
NH3,24h,14.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,14.03.2022,50,75,39,42
Benzen,24h,,,,,
SO 2,24h,15.03.2022,125,125,17,20
ČAĐ,24h,15.03.2022,50,24,29,
NO,2 24h,15.03.2022,85,125,23,31
NH3,24h,15.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,15.03.2022,50,75,66,69
Benzen,24h,,,,,
SO 2,24h,16.03.2022,125,125,8,8
ČAĐ,24h,16.03.2022,50,20,19,
NO,2 24h,16.03.2022,85,125,29,25
NH3,24h,16.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,16.03.2022,50,75,47,48
Benzen,24h,,,,,
SO 2,24h,17.03.2022,125,125,8,8
ČAĐ,24h,17.03.2022,50,5,7,
NO,2 24h,17.03.2022,85,125,8,12
NH3,24h,17.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,17.03.2022,50,75,21,21
Benzen,24h,,,,,
SO 2,24h,18.03.2022,125,125,8,8
ČAĐ,24h,18.03.2022,50,27,38,
NO,2 24h,18.03.2022,85,125,14,23
NH3,24h,18.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,18.03.2022,50,75,60,63
Benzen,24h,,,,,
SO 2,24h,19.03.2022,125,125,8,8
ČAĐ,24h,19.03.2022,50,7,28,
NO,2 24h,19.03.2022,85,125,10,14
NH3,24h,19.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,19.03.2022,50,75,30,30
Benzen,24h,19.03.2022,,,,
SO 2,24h,20.03.2022,125,125,8,8
ČAĐ,24h,20.03.2022,50,19,23,
NO,2 24h,20.03.2022,85,125,25,25
NH3,24h,20.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,20.03.2022,50,75,58,53
Benzen,24h,,,,,
SO 2,24h,21.03.2022,125,125,8,8
ČAĐ,24h,21.03.2022,50,34,29,
NO,2 24h,21.03.2022,85,125,28,31
NH3,24h,21.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,21.03.2022,50,75,80,74
Benzen,24h,,,,,
SO 2,24h,22.03.2022,125,125,8,8
ČAĐ,24h,22.03.2022,50,20,17,
NO,2 24h,22.03.2022,85,125,19,21
NH3,24h,22.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,22.03.2022,50,75,55,59
Benzen,24h,,,,,
SO 2,24h,23.03.2022,125,125,8,8
ČAĐ,24h,23.03.2022,50,39,27,
NO,2 24h,23.03.2022,85,125,39,31
NH3,24h,23.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,23.03.2022,50,75,83,78
Benzen,24h,,,,,
SO 2,24h,24.03.2022,125,125,8,8
ČAĐ,24h,24.03.2022,50,16,17,
NO,2 24h,24.03.2022,85,125,24,17
NH3,24h,24.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,24.03.2022,50,75,54,49
Benzen,24h,,,,,
SO 2,24h,25.03.2022,125,125,8,8
ČAĐ,24h,25.03.2022,50,37,27,
NO,2 24h,25.03.2022,85,125,22,24
NH3,24h,25.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,25.03.2022,50,75,73,61
Benzen,24h,25.03.2022,,,,
SO 2,24h,26.03.2022,125,125,8,8
ČAĐ,24h,26.03.2022,50,29,18,
NO,2 24h,26.03.2022,85,125,19,18
NH3,24h,26.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,26.03.2022,50,75,60,59
Benzen,24h,,,,,
SO 2,24h,27.03.2022,125,125,8,8
ČAĐ,24h,27.03.2022,50,14,13,
NO,2 24h,27.03.2022,85,125,24,17
NH3,24h,27.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,27.03.2022,50,75,39,45
Benzen,24h,,,,,
SO 2,24h,28.03.2022,125,125,8,8
ČAĐ,24h,28.03.2022,50,27,28,
NO,2 24h,28.03.2022,85,125,35,18
NH3,24h,28.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,28.03.2022,50,75,60,72
Benzen,24h,,,,,
SO 2,24h,29.03.2022,125,125,8,10
ČAĐ,24h,29.03.2022,50,30,31,
NO,2 24h,29.03.2022,85,125,38,27
NH3,24h,29.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,29.03.2022,50,75,100,106
Benzen,24h,,,,,
SO 2,24h,30.03.2022,125,125,8,13
ČAĐ,24h,30.03.2022,50,9,10,
NO,2 24h,30.03.2022,85,125,26,20
NH3,24h,30.03.2022,100,13,10,
TSP,24h,,120,,,
PM10,24h,30.03.2022,50,75,51,56
Benzen,24h,,,,,
SO 2,24h,31.03.2022,125,125,8,8
ČAĐ,24h,31.03.2022,50,5,5,
NO,2 24h,31.03.2022,85,125,26,24
NH3,24h,31.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,31.03.2022,50,75,41,39
Benzen,24h,31.03.2022,,,,
SO 2,24h,01.04.2018,125,125,8,8
ČAĐ,24h,01.04.2018,50,12,7,8
NO,2 24h,01.04.2018,85,125,13,11
NH3,24h,01.04.2018,100,18,35,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,01.04.2018,0,,,
UV,24h,01.04.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,02.04.2018,125,125,8,8
ČAĐ,24h,02.04.2018,50,16,15,12
NO,2 24h,02.04.2018,85,125,15,22
NH3,24h,02.04.2018,100,26,27,
TSP,24h,,120,,,
PM10,24h,30.03.2018,50,75,40,
BC,24h,02.04.2018,1,,,
UV,24h,02.04.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,03.04.2018,125,125,8,8
ČAĐ,24h,03.04.2018,50,8,12,8
NO,2 24h,03.04.2018,85,125,14,18
NH3,24h,03.04.2018,100,17,23,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,03.04.2018,1,,,
UV,24h,03.04.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,04.04.2018,125,125,10,12
ČAĐ,24h,04.04.2018,50,33,27,38
NO,2 24h,04.04.2018,85,125,8,43
NH3,24h,04.04.2018,100,22,36,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,04.04.2018,2,,,
UV,24h,04.04.2018,4,,,
Benzen,24h,,,,,
SO 2,24h,05.04.2018,125,125,8,8
ČAĐ,24h,05.04.2018,50,10,12,12
NO,2 24h,05.04.2018,85,125,21,22
NH3,24h,05.04.2018,100,13,17,
TSP,24h,,120,,,
PM10,24h,02.04.2018,50,75,37,
BC,24h,05.04.2018,2,,,
UV,24h,05.04.2018,4,,,
Benzen,24h,,,,,
SO 2,24h,06.04.2018,125,125,8,8
ČAĐ,24h,06.04.2018,50,6,6,8
NO,2 24h,06.04.2018,85,125,5,15
NH3,24h,06.04.2018,100,16,32,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,06.04.2018,1,,,
UV,24h,06.04.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,07.04.2018,125,125,8,8
ČAĐ,24h,07.04.2018,50,10,11,15
NO,2 24h,07.04.2018,85,125,11,17
NH3,24h,07.04.2018,100,9,13,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,07.04.2018,0,,,
UV,24h,07.04.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,08.04.2018,125,125,8,16
ČAĐ,24h,08.04.2018,50,11,12,12
NO,2 24h,08.04.2018,85,125,2,28
NH3,24h,08.04.2018,100,13,98,
TSP,24h,,120,,,
PM10,24h,05.04.2018,50,75,58,
BC,24h,08.04.2018,1,,,
UV,24h,08.04.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,09.04.2018,125,125,8,19
ČAĐ,24h,09.04.2018,50,9,10,10
NO,2 24h,09.04.2018,85,125,5,18
NH3,24h,09.04.2018,100,19,79,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,09.04.2018,1,,,
UV,24h,09.04.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,10.04.2018,125,125,8,8
ČAĐ,24h,10.04.2018,50,9,8,13
NO,2 24h,10.04.2018,85,125,8,18
NH3,24h,10.04.2018,100,15,57,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,10.04.2018,1,,,
UV,24h,10.04.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,11.04.2018,125,125,8,8
ČAĐ,24h,11.04.2018,50,26,24,41
NO,2 24h,11.04.2018,85,125,36,31
NH3,24h,11.04.2018,100,20,54,
TSP,24h,,120,,,
PM10,24h,08.04.2018,50,75,52,
BC,24h,11.04.2018,3,,,
UV,24h,11.04.2018,4,,,
Benzen,24h,,,,,
SO 2,24h,12.04.2018,125,125,8,8
ČAĐ,24h,12.04.2018,50,4,11,9
NO,2 24h,12.04.2018,85,125,32,49
NH3,24h,12.04.2018,100,49,38,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,12.04.2018,2,,,
UV,24h,12.04.2018,3,,,
Benzen,24h,,,,,
SO 2,24h,13.04.2018,125,125,8,19
ČAĐ,24h,13.04.2018,50,13,14,14
NO,2 24h,13.04.2018,85,125,11,15
NH3,24h,13.04.2018,100,16,62,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,13.04.2018,1,,,
UV,24h,13.04.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,14.04.2018,125,125,8,8
ČAĐ,24h,14.04.2018,50,16,13,11
NO,2 24h,14.04.2018,85,125,2,11
NH3,24h,14.04.2018,100,15,39,
TSP,24h,,120,,,
PM10,24h,11.04.2018,50,75,78,
BC,24h,14.04.2018,1,,,
UV,24h,14.04.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,15.04.2018,125,125,8,15
ČAĐ,24h,15.04.2018,50,11,11,12
NO,2 24h,15.04.2018,85,125,2,9
NH3,24h,15.04.2018,100,14,30,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,15.04.2018,1,,,
UV,24h,15.04.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,16.04.2018,125,125,8,35
ČAĐ,24h,16.04.2018,50,10,15,10
NO,2 24h,16.04.2018,85,125,2,28
NH3,24h,16.04.2018,100,11,35,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,16.04.2018,1,,,
UV,24h,16.04.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,17.04.2018,125,125,8,8
ČAĐ,24h,17.04.2018,50,18,12,15
NO,2 24h,17.04.2018,85,125,24,22
NH3,24h,17.04.2018,100,16,45,
TSP,24h,,120,,,
PM10,24h,14.04.2018,50,75,55,
BC,24h,17.04.2018,2,,,
UV,24h,17.04.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,18.04.2018,125,125,8,8
ČAĐ,24h,18.04.2018,50,14,10,11
NO,2 24h,18.04.2018,85,125,5,16
NH3,24h,18.04.2018,100,16,36,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,18.04.2018,1,,,
UV,24h,18.04.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,19.04.2018,125,125,8,8
ČAĐ,24h,19.04.2018,50,8,4,9
NO,2 24h,19.04.2018,85,125,12,12
NH3,24h,19.04.2018,100,15,40,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,19.04.2018,1,,,
UV,24h,19.04.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,20.04.2018,125,125,8,8
ČAĐ,24h,20.04.2018,50,11,11,11
NO,2 24h,20.04.2018,85,125,16,23
NH3,24h,20.04.2018,100,9,20,
TSP,24h,,120,,,
PM10,24h,17.04.2018,50,75,45,
BC,24h,20.04.2018,1,,,
UV,24h,20.04.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,21.04.2018,125,125,11,10
ČAĐ,24h,21.04.2018,50,106,28,17
NO,2 24h,21.04.2018,85,125,37,23
NH3,24h,21.04.2018,100,28,18,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,21.04.2018,2,,,
UV,24h,21.04.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,22.04.2018,125,125,11,8
ČAĐ,24h,22.04.2018,50,60,47,39
NO,2 24h,22.04.2018,85,125,31,35
NH3,24h,22.04.2018,100,36,45,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,22.04.2018,3,,,
UV,24h,22.04.2018,3,,,
Benzen,24h,,,,,
SO 2,24h,23.04.2018,125,125,8,8
ČAĐ,24h,23.04.2018,50,112,29,27
NO,2 24h,23.04.2018,85,125,53,28
NH3,24h,23.04.2018,100,41,48,
TSP,24h,,120,,,
PM10,24h,20.04.2018,50,75,39,
BC,24h,23.04.2018,2,,,
UV,24h,23.04.2018,3,,,
Benzen,24h,,,,,
SO 2,24h,24.04.2018,125,125,8,8
ČAĐ,24h,24.04.2018,50,106,19,34
NO,2 24h,24.04.2018,85,125,44,34
NH3,24h,24.04.2018,100,41,38,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,24.04.2018,2,,,
UV,24h,24.04.2018,3,,,
Benzen,24h,,,,,
SO 2,24h,25.04.2018,125,125,9,8
ČAĐ,24h,25.04.2018,50,94,32,24
NO,2 24h,25.04.2018,85,125,52,36
NH3,24h,25.04.2018,100,58,43,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,25.04.2018,3,,,
UV,24h,25.04.2018,3,,,
Benzen,24h,,,,,
SO 2,24h,26.04.2018,125,125,8,8
ČAĐ,24h,26.04.2018,50,91,4,5
NO,2 24h,26.04.2018,85,125,6,17
NH3,24h,26.04.2018,100,24,45,
TSP,24h,,120,,,
PM10,24h,23.04.2018,50,75,52,
BC,24h,26.04.2018,1,,,
UV,24h,26.04.2018,2,,,
Benzen,24h,,,,,
SO 2,24h,27.04.2018,125,125,8,8
ČAĐ,24h,27.04.2018,50,70,13,10
NO,2 24h,27.04.2018,85,125,11,13
NH3,24h,27.04.2018,100,17,28,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,27.04.2018,0,,,
UV,24h,27.04.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,28.04.2018,125,125,8,25
ČAĐ,24h,28.04.2018,50,68,6,8
NO,2 24h,28.04.2018,85,125,2,17
NH3,24h,28.04.2018,100,18,36,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,28.04.2018,0,,,
UV,24h,28.04.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,29.04.2018,125,125,8,18
ČAĐ,24h,29.04.2018,50,59,5,4
NO,2 24h,29.04.2018,85,125,11,16
NH3,24h,29.04.2018,100,19,47,
TSP,24h,,120,,,
PM10,24h,26.04.2018,50,75,40,
BC,24h,29.04.2018,0,,,
UV,24h,29.04.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,30.04.2018,125,125,8,8
ČAĐ,24h,30.04.2018,50,72,16,10
NO,2 24h,30.04.2018,85,125,10,24
NH3,24h,30.04.2018,100,39,42,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,30.04.2018,0,,,
UV,24h,30.04.2018,1,,,
Benzen,24h,,,,,
SO 2,24h,01.01.2021,125,125,8,8
ČAĐ,24h,01.01.2021,50,11,9,13
NO,2 24h,01.01.2021,85,125,24,24
NH3,24h,01.01.2021,100,6,7,
TSP,24h,,120,,,
PM10,24h,01.01.2021,50,75,39,
BC,24h,01.01.2021,3,,,
UV,24h,01.01.2021,9,,,
Benzen,24h,,,,,
SO 2,24h,02.01.2021,125,125,8,8
ČAĐ,24h,02.01.2021,50,6,5,9
NO,2 24h,02.01.2021,85,125,27,23
NH3,24h,02.01.2021,100,8,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.01.2021,2,,,
UV,24h,02.01.2021,6,,,
Benzen,24h,,,,,
SO 2,24h,03.01.2021,125,125,8,8
ČAĐ,24h,03.01.2021,50,6,7,7
NO,2 24h,03.01.2021,85,125,8,19
NH3,24h,03.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,03.01.2021,2,,,
UV,24h,03.01.2021,4,,,
Benzen,24h,,,,,
SO 2,24h,04.01.2021,125,125,8,8
ČAĐ,24h,04.01.2021,50,9,7,10
NO,2 24h,04.01.2021,85,125,15,9
NH3,24h,04.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,04.01.2021,50,75,21,
BC,24h,04.01.2021,2,,,
UV,24h,04.01.2021,5,,,
Benzen,24h,,,,,
SO 2,24h,05.01.2021,125,125,8,8
ČAĐ,24h,05.01.2021,50,13,21,18
NO,2 24h,05.01.2021,85,125,18,23
NH3,24h,05.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.01.2021,4,,,
UV,24h,05.01.2021,8,,,
Benzen,24h,05.01.2021,,,,
SO 2,24h,06.01.2021,125,125,8,8
ČAĐ,24h,06.01.2021,50,24,17,14
NO,2 24h,06.01.2021,85,125,17,21
NH3,24h,06.01.2021,100,7,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,06.01.2021,4,,,
UV,24h,06.01.2021,10,,,
Benzen,24h,,,,,
SO 2,24h,07.01.2021,125,125,8,8
ČAĐ,24h,07.01.2021,50,8,11,10
NO,2 24h,07.01.2021,85,125,11,19
NH3,24h,07.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,07.01.2021,50,75,29,
BC,24h,07.01.2021,3,,,
UV,24h,07.01.2021,9,,,
Benzen,24h,,,,,
SO 2,24h,08.01.2021,125,125,8,8
ČAĐ,24h,08.01.2021,50,11,5,7
NO,2 24h,08.01.2021,85,125,17,12
NH3,24h,08.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.01.2021,2,,,
UV,24h,08.01.2021,6,,,
Benzen,24h,,,,,
SO 2,24h,09.01.2021,125,125,8,8
ČAĐ,24h,09.01.2021,50,10,10,8
NO,2 24h,09.01.2021,85,125,14,17
NH3,24h,09.01.2021,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,09.01.2021,4,,,
UV,24h,09.01.2021,8,,,
Benzen,24h,,,,,
SO 2,24h,10.01.2021,125,125,8,8
ČAĐ,24h,10.01.2021,50,18,9,10
NO,2 24h,10.01.2021,85,125,12,11
NH3,24h,10.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,10.01.2021,50,75,27,
BC,24h,10.01.2021,3,,,
UV,24h,10.01.2021,6,,,
Benzen,24h,,,,,
SO 2,24h,11.01.2021,125,125,8,8
ČAĐ,24h,11.01.2021,50,27,12,16
NO,2 24h,11.01.2021,85,125,16,18
NH3,24h,11.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.01.2021,4,,,
UV,24h,11.01.2021,8,,,
Benzen,24h,11.01.2021,,,,
SO 2,24h,12.01.2021,125,125,8,8
ČAĐ,24h,12.01.2021,50,12,12,16
NO,2 24h,12.01.2021,85,125,24,15
NH3,24h,12.01.2021,100,7,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,12.01.2021,6,,,
UV,24h,12.01.2021,11,,,
Benzen,24h,,,,,
SO 2,24h,13.01.2021,125,125,8,8
ČAĐ,24h,13.01.2021,50,16,12,10
NO,2 24h,13.01.2021,85,125,21,13
NH3,24h,13.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,13.01.2021,50,75,41,
BC,24h,13.01.2021,5,,,
UV,24h,13.01.2021,10,,,
Benzen,24h,,,,,
SO 2,24h,14.01.2021,125,125,8,8
ČAĐ,24h,14.01.2021,50,8,6,11
NO,2 24h,14.01.2021,85,125,21,11
NH3,24h,14.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.01.2021,3,,,
UV,24h,14.01.2021,8,,,
Benzen,24h,,,,,
SO 2,24h,15.01.2021,125,125,8,8
ČAĐ,24h,15.01.2021,50,8,8,5
NO,2 24h,15.01.2021,85,125,21,13
NH3,24h,15.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,15.01.2021,3,,,
UV,24h,15.01.2021,7,,,
Benzen,24h,,,,,
SO 2,24h,16.01.2021,125,125,8,8
ČAĐ,24h,16.01.2021,50,18,11,17
NO,2 24h,16.01.2021,85,125,16,13
NH3,24h,16.01.2021,100,5,6,
TSP,24h,,120,,,
PM10,24h,16.01.2021,50,75,52,
BC,24h,16.01.2021,4,,,
UV,24h,16.01.2021,9,,,
Benzen,24h,,,,,
SO 2,24h,17.01.2021,125,125,8,8
ČAĐ,24h,17.01.2021,50,23,13,19
NO,2 24h,17.01.2021,85,125,23,21
NH3,24h,17.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.01.2021,6,,,
UV,24h,17.01.2021,13,,,
Benzene,24h,,,2,,
SO 2,24h,18.01.2021,125,125,8,8
ČAĐ,24h,18.01.2021,50,30,29,20
NO,2 24h,18.01.2021,85,125,33,21
NH3,24h,18.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,18.01.2021,8,,,
UV,24h,18.01.2021,15,,,
Benzen,24h,,,,,
SO 2,24h,19.01.2021,125,125,8,8
ČAĐ,24h,19.01.2021,50,13,26,19
NO,2 24h,19.01.2021,85,125,21,31
NH3,24h,19.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,19.01.2021,50,75,63,
BC,24h,19.01.2021,8,,,
UV,24h,19.01.2021,17,,,
Benzen,24h,,,,,
SO 2,24h,20.01.2021,125,125,8,8
ČAĐ,24h,20.01.2021,50,15,24,16
NO,2 24h,20.01.2021,85,125,25,19
NH3,24h,20.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.01.2021,6,,,
UV,24h,20.01.2021,13,,,
Benzen,24h,,,,,
SO 2,24h,21.01.2021,125,125,8,8
ČAĐ,24h,21.01.2021,50,11,23,15
NO,2 24h,21.01.2021,85,125,14,27
NH3,24h,21.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,21.01.2021,5,,,
UV,24h,21.01.2021,11,,,
Benzen,24h,,,,,
SO 2,24h,22.01.2021,125,125,8,8
ČAĐ,24h,22.01.2021,50,4,13,9
NO,2 24h,22.01.2021,85,125,10,13
NH3,24h,22.01.2021,100,5,6,
TSP,24h,,120,,,
PM10,24h,22.01.2021,50,75,28,
BC,24h,22.01.2021,3,,,
UV,24h,22.01.2021,7,,,
Benzen,24h,,,,,
SO 2,24h,23.01.2021,125,125,8,8
ČAĐ,24h,23.01.2021,50,4,7,5
NO,2 24h,23.01.2021,85,125,12,15
NH3,24h,23.01.2021,100,6,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.01.2021,1,,,
UV,24h,23.01.2021,5,,,
Benzene,24h,,,2,,
SO 2,24h,24.01.2021,125,125,8,8
ČAĐ,24h,24.01.2021,50,4,4,4
NO,2 24h,24.01.2021,85,125,5,6
NH3,24h,24.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,24.01.2021,2,,,
UV,24h,24.01.2021,5,,,
Benzen,24h,,,,,
SO 2,24h,25.01.2021,125,125,8,8
ČAĐ,24h,25.01.2021,50,8,7,12
NO,2 24h,25.01.2021,85,125,13,17
NH3,24h,25.01.2021,100,6,5,
TSP,24h,,120,,,
PM10,24h,25.01.2021,50,75,25,
BC,24h,25.01.2021,2,,,
UV,24h,25.01.2021,5,,,
Benzen,24h,,,,,
SO 2,24h,26.01.2021,125,125,8,8
ČAĐ,24h,26.01.2021,50,5,4,5
NO,2 24h,26.01.2021,85,125,13,9
NH3,24h,26.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.01.2021,2,,,
UV,24h,26.01.2021,5,,,
Benzen,24h,,,,,
SO 2,24h,27.01.2021,125,125,8,8
ČAĐ,24h,27.01.2021,50,10,6,8
NO,2 24h,27.01.2021,85,125,20,15
NH3,24h,27.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,27.01.2021,2,,,
UV,24h,27.01.2021,6,,,
Benzen,24h,,,,,
SO 2,24h,28.01.2021,125,125,8,8
ČAĐ,24h,28.01.2021,50,19,26,25
NO,2 24h,28.01.2021,85,125,17,19
NH3,24h,28.01.2021,100,6,5,
TSP,24h,,120,,,
PM10,24h,28.01.2021,50,75,43,
BC,24h,28.01.2021,4,,,
UV,24h,28.01.2021,10,,,
Benzen,24h,,,,,
SO 2,24h,29.01.2021,125,125,8,8
ČAĐ,24h,29.01.2021,50,29,22,17
NO,2 24h,29.01.2021,85,125,21,25
NH3,24h,29.01.2021,100,5,8,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.01.2021,8,,,
UV,24h,29.01.2021,14,,,
Benzene,24h,,,2,,
SO 2,24h,30.01.2021,125,125,8,8
ČAĐ,24h,30.01.2021,50,17,18,10
NO,2 24h,30.01.2021,85,125,15,18
NH3,24h,30.01.2021,100,5,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,30.01.2021,4,,,
UV,24h,30.01.2021,11,,,
Benzen,24h,,,,,
SO 2,24h,31.01.2021,125,125,8,8
ČAĐ,24h,31.01.2021,50,11,11,8
NO,2 24h,31.01.2021,85,125,11,17
NH3,24h,31.01.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,31.01.2021,50,75,27,
BC,24h,31.01.2021,3,,,
UV,24h,31.01.2021,8,,,
Benzen,24h,,,,,
SO 2,24h,01.08.2017,125,125,8,8
ČAĐ,24h,01.08.2017,50,8,8,10
NO,2 24h,01.08.2017,85,125,16,20
NH3,24h,01.08.2017,100,22,34,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,01.08.2017,0,,,
UV,24h,01.08.2017,1,,,
Benzen,24h,,,,,
SO 2,24h,02.08.2017,125,125,8,8
ČAĐ,24h,02.08.2017,50,7,10,11
NO,2 24h,02.08.2017,85,125,16,27
NH3,24h,02.08.2017,100,23,33,
TSP,24h,,120,,,
PM10,24h,30.07.2017,50,75,27,
BC,24h,02.08.2017,0,,,
UV,24h,02.08.2017,1,,,
Benzen,24h,,,,,
SO 2,24h,03.08.2017,125,125,8,8
ČAĐ,24h,03.08.2017,50,26,19,47
NO,2 24h,03.08.2017,85,125,48,30
NH3,24h,03.08.2017,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,03.08.2017,2,,,
UV,24h,03.08.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,04.08.2017,125,125,8,10
ČAĐ,24h,04.08.2017,50,28,20,40
NO,2 24h,04.08.2017,85,125,49,41
NH3,24h,04.08.2017,100,33,35,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,04.08.2017,3,,,
UV,24h,04.08.2017,3,,,
Benzen,24h,,,,,
SO 2,24h,05.08.2017,125,125,8,8
ČAĐ,24h,05.08.2017,50,24,19,36
NO,2 24h,05.08.2017,85,125,40,26
NH3,24h,05.08.2017,100,43,41,
TSP,24h,,120,,,
PM10,24h,02.08.2017,50,75,35,
BC,24h,05.08.2017,2,,,
UV,24h,05.08.2017,3,,,
Benzen,24h,,,,,
SO 2,24h,06.08.2017,125,125,8,8
ČAĐ,24h,06.08.2017,50,12,7,9
NO,2 24h,06.08.2017,85,125,21,16
